characters: 950623
words: 9695
lines: 11237

drought  : 3 
plague  : 1 
loomed  : 1 
performing  : 2 
ceremonies  : 4 
rites  : 1 
significant  : 27 
ceremony  : 5 
offering  : 3 
increasing  : 9 
offerings  : 2 
strength  : 3 
conquer  : 2 
sacrificing  : 1 
animal  : 53 
goat  : 1 
odin  : 3 
sacrifices  : 2 
countries  : 13 
eddie  : 1 
poem  : 5 
thrym  : 8 
rising  : 3 
finds  : 14 
tremble  : 3 
beard  : 8 
shakes  : 1 
accompanied  : 2 
henchman  : 1 
loki  : 8 
borrow  : 2 
wings  : 8 
jotunheim  : 6 
land  : 18 
stolen  : 3 
meets  : 4 
king  : 17 
begins  : 12 
boast  : 3 
seven  : 23 
leagues  : 1 
adds  : 1 
bride  : 7 
midst  : 5 
blown  : 2 
hostage  : 2 
incident  : 2 
seized  : 3 
defensive  : 1 
utterly  : 8 
unacceptable  : 4 
situation  : 30 
total  : 4 
control  : 20 
exchange  : 4 
demanding  : 1 
protects  : 2 
grass  : 16 
disappear  : 4 
deadlocked  : 2 
returns  : 3 
wedding  : 5 
attire  : 1 
alas  : 1 
furious  : 1 
absolutely  : 28 
agrees  : 3 
marry  : 3 
giant  : 4 
heimdall  : 1 
suggests  : 1 
dress  : 13 
tunic  : 4 
woman  : 43 
understandably  : 1 
wildly  : 3 
enthusiastic  : 2 
accepts  : 2 
allows  : 3 
attired  : 1 
bridal  : 2 
costume  : 6 
bridesmaid  : 1 
terms  : 10 
anti  : 3 
terrorist  : 1 
squad  : 1 
disguised  : 6 
mission  : 3 
breach  : 1 
stronghold  : 1 
recapture  : 1 
arrive  : 8 
prepare  : 7 
feast  : 2 
devours  : 1 
eight  : 20 
salmon  : 1 
drinks  : 1 
barrels  : 1 
beer  : 5 
true  : 91 
identity  : 3 
commandos  : 1 
nearly  : 16 
revealed  : 12 
manages  : 4 
avert  : 1 
danger  : 3 
explaining  : 5 
coming  : 32 
eaten  : 8 
week  : 16 
lifts  : 2 
veil  : 1 
kiss  : 5 
burning  : 11 
saves  : 1 
slept  : 7 
excited  : 1 
commands  : 2 
laid  : 15 
roars  : 1 
laughter  : 7 
kills  : 1 
wipes  : 1 
gruesome  : 2 
affair  : 1 
ending  : 3 
batman  : 1 
james  : 1 
bond  : 1 
conquered  : 6 
entertainment  : 1 
tries  : 7 
interpretation  : 6 
occurred  : 6 
attempt  : 13 
changing  : 4 
seasons  : 4 
dies  : 8 
spring  : 8 
succeeds  : 2 
winning  : 6 
